ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
F1,1000×1000,400,2140,Fc21,6-D13,SD295A,100,6-D13,SD295A,100,150,300,Dx:700 Dy:700,<RE>,,,,,,,,,,
F2,1000×2000,400,2140,Fc21,11-D13,SD295A,100,7-D16,SD295A,100,150,300,Dx:700 Dy:700,<RE>,,,,,,,,,,
F22,1000×2000,600,2140,Fc21,11-D13,SD295A,100,7-D16,SD295A,100,150,300,Dx:700 Dy:700,<RE>,,,,,,,,,,
F24,2000×2000,600,2140,Fc21,11-D16,SD295A,100,11-D16,SD295A,100,150,300,Dx:700 Dy:700,<RE>,,,,,,,,,,
F23,1000×3000,600,2140,Fc21,15-D13,SD295A,100,9-D16,SD295A,100,150,300,Dx:700 Dy:700,<RE>,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎自重,,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,A,Df,Wf',Wg,Wf,,,,,,,,,,,,,,,,
,,,,m2,m,kN,kN,kN,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,F22,2,2.14,76.5,9.2,85.6,<RE>,,,,,,,,,,,,,,,
1,2,A,F2,2,2.14,77.2,8.4,85.6,<RE>,,,,,,,,,,,,,,,
1,3,A,F1,1,2.14,37.9,5,42.8,<RE>,,,,,,,,,,,,,,,
1,1,B,F2,2,2.14,72,13.7,85.6,<RE>,,,,,,,,,,,,,,,
1,2,B,F2,2,2.14,77.5,8.2,85.6,<RE>,,,,,,,,,,,,,,,
1,4,B,F24,4,2.14,160.4,10.8,171.2,<RE>,,,,,,,,,,,,,,,
1,5,B,F24,4,2.14,158.9,12.3,171.2,<RE>,,,,,,,,,,,,,,,
1,6,B,F24,4,2.14,154.4,16.8,171.2,<RE>,,,,,,,,,,,,,,,
1,7,B,F24,4,2.14,154.4,16.8,171.2,<RE>,,,,,,,,,,,,,,,
1,8,B,F24,4,2.14,154.4,16.8,171.2,<RE>,,,,,,,,,,,,,,,
1,9,B,F2,2,2.14,70.3,15.4,85.6,<RE>,,,,,,,,,,,,,,,
1,1,b2,F23,3,2.14,109.5,18.9,128.4,<RE>,,,,,,,,,,,,,,,
1,9,b2,F23,3,2.14,103.2,25.2,128.4,<RE>,,,,,,,,,,,,,,,
1,1,C,F2,2,2.14,70.2,15.5,85.6,<RE>,,,,,,,,,,,,,,,
1,2,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,4,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,5,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,6,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,7,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,8,C,F2,2,2.14,81.4,4.2,85.6,<RE>,,,,,,,,,,,,,,,
1,9,C,F23,3,2.14,100.4,28.1,128.4,<RE>,,,,,,,,,,,,,,,
1,1,c1,F22,2,2.14,73,12.6,85.6,<RE>,,,,,,,,,,,,,,,
1,9,c1,F22,2,2.14,68.8,16.8,85.6,<RE>,,,,,,,,,,,,,,,
1,1,D,F23,3,2.14,106.7,21.8,128.4,<RE>,,,,,,,,,,,,,,,
1,2,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,4,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,5,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,6,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,7,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,8,D,F2,2,2.14,76.4,9.3,85.6,<RE>,,,,,,,,,,,,,,,
1,9,D,F2,2,2.14,66,19.7,85.6,<RE>,,,,,,,,,,,,,,,
1,1,E,F22,2,2.14,71.4,14.3,85.6,<RE>,,,,,,,,,,,,,,,
1,2,E,F24,4,2.14,155.5,15.8,171.2,<RE>,,,,,,,,,,,,,,,
1,4,E,F24,4,2.14,155.5,15.8,171.2,<RE>,,,,,,,,,,,,,,,
1,5,E,F23,3,2.14,113.9,14.6,128.4,<RE>,,,,,,,,,,,,,,,
1,6,E,F23,3,2.14,113.9,14.6,128.4,<RE>,,,,,,,,,,,,,,,
1,7,E,F23,3,2.14,112.4,16.1,128.4,<RE>,,,,,,,,,,,,,,,
1,8,E,F23,3,2.14,110.9,17.6,128.4,<RE>,,,,,,,,,,,,,,,
1,9,E,F22,2,2.14,66.1,19.6,85.6,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=偏心距離,,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,ex,ey,,,,,,,,,,,,,,,,,,,
,,,,mm,mm,,,,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,F22,0,500,<RE>,,,,,,,,,,,,,,,,,,
1,2,A,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,3,A,F1,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,1,B,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,2,B,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,4,B,F24,-500,0,<RE>,,,,,,,,,,,,,,,,,,
1,5,B,F24,-500,0,<RE>,,,,,,,,,,,,,,,,,,
1,6,B,F24,-500,0,<RE>,,,,,,,,,,,,,,,,,,
1,7,B,F24,500,0,<RE>,,,,,,,,,,,,,,,,,,
1,8,B,F24,500,0,<RE>,,,,,,,,,,,,,,,,,,
1,9,B,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,1,b2,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,9,b2,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,1,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,2,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,4,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,5,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,6,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,7,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,8,C,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,9,C,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,1,c1,F22,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,9,c1,F22,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,1,D,F23,0,500,<RE>,,,,,,,,,,,,,,,,,,
1,2,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,4,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,5,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,6,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,7,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,8,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,9,D,F2,0,0,<RE>,,,,,,,,,,,,,,,,,,
1,1,E,F22,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,2,E,F24,-500,0,<RE>,,,,,,,,,,,,,,,,,,
1,4,E,F24,-500,0,<RE>,,,,,,,,,,,,,,,,,,
1,5,E,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,6,E,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,7,E,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,8,E,F23,0,-500,<RE>,,,,,,,,,,,,,,,,,,
1,9,E,F22,0,-500,<RE>,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=G+P,,,,,,,,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,,,,,,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,2,FG1,1,7570,上部,5.6,61.9,-80.2,43.3,63,0,0,,,,,,,,,,
,,,,,,,偏心,-0.7,-0.6,-1.8,-0.4,0.4,3.8,-3.8,<RE>,,,,,,,,,
1,A,2,3,FG1,1,3770,上部,78.1,-12.7,0.7,46.5,4.7,0,0,,,,,,,,,,
,,,,,,,偏心,2.3,-1.1,0.2,0.7,-0.7,-0.2,0.2,<RE>,,,,,,,,,
1,B,1,2,FG1,1,7570,上部,0.5,32.6,-78.5,25.5,46.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.9,1.8,4.4,0.7,-0.7,-0.2,0.2,<RE>,,,,,,,,,
1,B,2,3,FG31,1,3770,上部,79,14.1,69.3,57,-17.8,0,0,,,,,,,,,,
,,,,,,,偏心,-4.9,-5.6,-16.1,-5.6,5.6,-0.8,0.8,<RE>,,,,,,,,,
1,B,3,4,FG31,1,3630,上部,-69.3,16.3,-87.5,-16.5,68.7,0,0,,,,,,,,,,
,,,,,,,偏心,15.9,-25,-34,-5.9,5.9,0.5,-0.5,<RE>,,,,,,,,,
1,B,4,5,FG31,1,7200,上部,87.6,27.9,-64.4,58.3,51.8,0,0,,,,,,,,,,
,,,,,,,偏心,-59.3,13.9,-31.7,-13.6,13.6,0,0,<RE>,,,,,,,,,
1,B,5,6,FG32,1,7200,上部,64.9,49.4,-90.4,63.2,70.3,0,0,,,,,,,,,,
,,,,,,,偏心,-54.8,-6.6,-67.8,-18.3,18.3,0,0,<RE>,,,,,,,,,
1,B,6,7,FG32,1,7200,上部,90.8,43,-77.3,68.6,64.9,0,0,,,,,,,,,,
,,,,,,,偏心,-39.9,35.6,31.2,-1.3,1.3,0,0,<RE>,,,,,,,,,
1,B,7,8,FG32,1,7200,上部,77.6,34,-108.4,62.5,71,0,0,,,,,,,,,,
,,,,,,,偏心,72,0.9,73.7,21.8,-21.8,0,0,<RE>,,,,,,,,,
1,B,8,9,FG32,1,7370,上部,108.9,78.6,0.1,83.2,53.6,0,0,,,,,,,,,,
,,,,,,,偏心,31.2,-15.5,0.3,4.6,-4.6,-0.5,0.5,<RE>,,,,,,,,,
1,C,1,2,FG1,1,7570,上部,1.8,31.6,-46.8,22,33.9,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0.6,-0.6,<RE>,,,,,,,,,
1,C,2,4,FG1,1,7400,上部,47.4,14.3,-30.9,29.5,25.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,4,5,FG1,1,7200,上部,31.9,17.9,-33.6,26.3,26.8,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,5,6,FG1,1,7200,上部,34.4,16.4,-33.9,26.6,26.4,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,6,7,FG1,1,7200,上部,34.8,18.1,-30.1,27.2,25.9,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,0.1,0.1,0.1,-0.1,0,0,<RE>,,,,,,,,,
1,C,7,8,FG1,1,7200,上部,30.9,13.1,-44,24.7,28.3,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.1,-0.1,0.1,0,0,<RE>,,,,,,,,,
1,C,8,9,FG1,1,7370,上部,45.2,30.4,-0.1,33.3,21.1,0,0,,,,,,,,,,
,,,,,,,偏心,0.1,-0.1,0.1,0.1,-0.1,0.3,-0.3,<RE>,,,,,,,,,
1,D,1,2,FG1,1,7570,上部,-1.1,38,-55.5,25,39.9,0,0,,,,,,,,,,
,,,,,,,偏心,0.4,-0.5,-0.7,-0.1,0.1,0.9,-0.9,<RE>,,,,,,,,,
1,D,2,4,FG1,1,7400,上部,56.4,16.4,-35.7,34.5,28.9,0,0,,,,,,,,,,
,,,,,,,偏心,-0.7,-0.2,-0.9,-0.3,0.3,-0.4,0.4,<RE>,,,,,,,,,
1,D,4,5,FG1,1,7200,上部,37.1,20.9,-39.2,30.5,31.1,0,0,,,,,,,,,,
,,,,,,,偏心,-0.7,0.3,-0.3,-0.2,0.2,-2.9,2.9,<RE>,,,,,,,,,
1,D,5,6,FG1,1,7200,上部,40.5,19.2,-39.2,31,30.6,0,0,,,,,,,,,,
,,,,,,,偏心,0.2,-0.1,0.1,0.1,-0.1,-0.5,0.5,<RE>,,,,,,,,,
1,D,6,7,FG1,1,7200,上部,40.9,21.2,-34.9,31.6,30,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,0.1,-0.1,-0.1,0.1,-0.3,0.3,<RE>,,,,,,,,,
1,D,7,8,FG1,1,7200,上部,36.4,15.4,-51,28.8,32.8,0,0,,,,,,,,,,
,,,,,,,偏心,-0.1,-0.1,-0.2,-0.1,0.1,0.4,-0.4,<RE>,,,,,,,,,
1,D,8,9,FG1,1,7370,上部,53,35.4,0.1,38.8,24.4,0,0,,,,,,,,,,
,,,,,,,偏心,0.5,0.4,1.1,0.3,-0.3,3.6,-3.6,<RE>,,,,,,,,,
1,E,1,2,FG31,1,7570,上部,-1.3,64.1,-92.4,43.1,67.8,0,0,,,,,,,,,,
,,,,,,,偏心,-0.8,-13.1,-27,-4,4,-1.6,1.6,<RE>,,,,,,,,,
1,E,2,4,FG31,1,7400,上部,92.6,27.7,-61.5,58.4,50,0,0,,,,,,,,,,
,,,,,,,偏心,-61.2,2.1,-57.1,-17.2,17.2,0.8,-0.8,<RE>,,,,,,,,,
1,E,4,5,FG31,1,7200,上部,61.8,34.8,-67.1,51.9,53.4,0,0,,,,,,,,,,
