ApName,Super Build／SS7,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,
工事名,佐川急便株式会社九州航空営業所新築工事,,,,,,,,,,,,,,
略称,倉庫棟,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,
出力日時,2020/9/1 17:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,
,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,
<data>,,,,,,,,,,,,,,,
Fc24(普通),24,8,,0.73,16,,1.1,1.2,1.5,<RE>,,,,,
SD295A(D13),295,195,195,195,295,295,295,,,<RE>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,,,
<data>,,,,,,,,,,,,,,,
F2,1000×2000,600,1350,Fc24,6-D13,SD295A,100,11-D13,SD295A,100,250,500,<RE>,,
F3,1000×3000,600,1350,Fc24,,,100,,,100,250,500,<RE>,,
F4,2000×2000,600,1350,Fc24,,,100,,,100,250,500,<RE>,,
F6,3000×2000,600,1350,Fc24,,,100,,,100,250,500,<RE>,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎自重,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,A,Df,Wf',Wg,Wf,,,,,,,
,,,,m2,m,kN,kN,kN,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,F3,3,1.35,67.4,13.7,81,<RE>,,,,,,
1SL,8,A,F3,3,1.35,64.4,16.7,81,<RE>,,,,,,
1SL,9,A,F2,2,1.35,41.7,12.4,54,<RE>,,,,,,
1SL,7,B,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,8,B,F6,6,1.35,138,24,162,<RE>,,,,,,
1SL,9,B,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,7,C,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,8,C,F6,6,1.35,138,24,162,<RE>,,,,,,
1SL,9,C,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,7,D,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,8,D,F6,6,1.35,138,24,162,<RE>,,,,,,
1SL,9,D,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,7,E,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,8,E,F6,6,1.35,138,24,162,<RE>,,,,,,
1SL,9,E,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,1,F,F3,3,1.35,67.4,13.7,81,<RE>,,,,,,
1SL,2,F,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,3,F,F3,3,1.35,66,15,81,<RE>,,,,,,
1SL,4,F,F3,3,1.35,66,15,81,<RE>,,,,,,
1SL,5,F,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,6,F,F6,6,1.35,138,24,162,<RE>,,,,,,
1SL,1,G,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,2,G,F6,6,1.35,141,21,162,<RE>,,,,,,
1SL,3,G,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,4,G,F4,4,1.35,90,18,108,<RE>,,,,,,
1SL,5,G,F6,6,1.35,141,21,162,<RE>,,,,,,
1SL,6,G,F6,6,1.35,141,21,162,<RE>,,,,,,
1SL,7,G,F6,6,1.35,141,21,162,<RE>,,,,,,
1SL,8,G,F6,6,1.35,132,30,162,<RE>,,,,,,
1SL,9,G,F3,3,1.35,58.4,22.7,81,<RE>,,,,,,
1SL,1,H,F3,3,1.35,65.7,15.4,81,<RE>,,,,,,
1SL,2,H,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,3,H,F3,3,1.35,64.4,16.7,81,<RE>,,,,,,
1SL,4,H,F3,3,1.35,64.4,16.7,81,<RE>,,,,,,
1SL,5,H,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,6,H,F4,4,1.35,88.4,19.7,108,<RE>,,,,,,
1SL,7,H,F3,3,1.35,64.4,16.7,81,<RE>,,,,,,
1SL,8,H,F3,3,1.35,64.4,16.7,81,<RE>,,,,,,
1SL,9,H,F2,2,1.35,41.7,12.4,54,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=偏心距離,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,ex,ey,,,,,,,,,,
,,,,mm,mm,,,,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,F3,0,0,<RE>,,,,,,,,,
1SL,8,A,F3,0,0,<RE>,,,,,,,,,
1SL,9,A,F2,0,0,<RE>,,,,,,,,,
1SL,7,B,F4,0,0,<RE>,,,,,,,,,
1SL,8,B,F6,0,0,<RE>,,,,,,,,,
1SL,9,B,F4,0,0,<RE>,,,,,,,,,
1SL,7,C,F4,0,0,<RE>,,,,,,,,,
1SL,8,C,F6,0,0,<RE>,,,,,,,,,
1SL,9,C,F4,0,0,<RE>,,,,,,,,,
1SL,7,D,F4,0,0,<RE>,,,,,,,,,
1SL,8,D,F6,0,0,<RE>,,,,,,,,,
1SL,9,D,F4,0,0,<RE>,,,,,,,,,
1SL,7,E,F4,0,0,<RE>,,,,,,,,,
1SL,8,E,F6,0,0,<RE>,,,,,,,,,
1SL,9,E,F4,0,0,<RE>,,,,,,,,,
1SL,1,F,F3,0,0,<RE>,,,,,,,,,
1SL,2,F,F4,0,0,<RE>,,,,,,,,,
1SL,3,F,F3,0,0,<RE>,,,,,,,,,
1SL,4,F,F3,0,0,<RE>,,,,,,,,,
1SL,5,F,F4,0,0,<RE>,,,,,,,,,
1SL,6,F,F6,0,0,<RE>,,,,,,,,,
1SL,1,G,F4,0,0,<RE>,,,,,,,,,
1SL,2,G,F6,0,0,<RE>,,,,,,,,,
1SL,3,G,F4,0,0,<RE>,,,,,,,,,
1SL,4,G,F4,0,0,<RE>,,,,,,,,,
1SL,5,G,F6,0,0,<RE>,,,,,,,,,
1SL,6,G,F6,0,0,<RE>,,,,,,,,,
1SL,7,G,F6,0,0,<RE>,,,,,,,,,
1SL,8,G,F6,0,0,<RE>,,,,,,,,,
1SL,9,G,F3,0,0,<RE>,,,,,,,,,
1SL,1,H,F3,0,0,<RE>,,,,,,,,,
1SL,2,H,F4,0,0,<RE>,,,,,,,,,
1SL,3,H,F3,0,0,<RE>,,,,,,,,,
1SL,4,H,F3,0,0,<RE>,,,,,,,,,
1SL,5,H,F4,0,0,<RE>,,,,,,,,,
1SL,6,H,F4,0,0,<RE>,,,,,,,,,
1SL,7,H,F3,0,0,<RE>,,,,,,,,,
1SL,8,H,F3,0,0,<RE>,,,,,,,,,
1SL,9,H,F2,0,0,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎梁応力表,case=G+P,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,
<data>,,,,,,,,,,,,,,,
1SL,A,7,8,FG1,1,6770,上部,2.9,79.2,-133.7,63.1,101.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,A,8,9,FG1,1,5940,上部,130.2,43.2,-11.2,92.1,52,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,7,8,FG1,1,6770,上部,-1.3,81.3,-133.5,62.5,102.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,B,8,9,FG1,1,5940,上部,131.8,41.2,-13.6,92,52.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,7,8,FG1,1,6770,上部,-7.3,52.6,-102.6,39.3,71.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,C,8,9,FG1,1,5940,上部,104.7,44.5,-13.2,81.4,50.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,7,8,FG1,1,6770,上部,-10.7,46.1,-96.1,33,64.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,D,8,9,FG1,1,5940,上部,100.8,46.7,-12.8,80.8,51.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,7,8,FG1,1,6770,上部,-0.4,42.1,-93.8,34.9,62.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,E,8,9,FG1,1,5940,上部,97.9,48.9,-11.1,80.6,51.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,1,2,FG1,1,10644,上部,50.5,106.6,-150.2,64.5,83.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,2,3,FG1,1,8136,上部,143.5,25.2,-47.1,67.3,43.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,3,4,FG1,1,7765,上部,48.8,26.9,-56.5,36.2,38.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,4,5,FG1,1,7765,上部,54.9,29.3,-45.5,38.4,36,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,5,6,FG1,1,10750,上部,73.5,35.2,-162.6,44.8,61.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,F,6,7,FG1,1,10760,上部,124.4,91.9,0,64.8,45.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,1,2,FG1,1,10644,上部,71.5,184.3,-36.4,87.9,81.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,3,4,FG1,1,7765,上部,20.8,114.2,-19.7,64.6,64.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,5,6,FG1,1,10750,上部,69.6,200.9,-43.7,93.3,88.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,7,8,FG1,1,6770,上部,-20.9,66.6,-90.9,38.9,71.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,G,8,9,FG1,1,5940,上部,95.3,17.1,-6.9,57.2,27.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,1,2,FG1,1,10644,上部,61.9,123.3,-168.1,74.7,94.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,2,3,FG1,1,8136,上部,160.9,23.7,-70.2,74.8,52.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,3,4,FG1,1,7765,上部,75.3,53.9,-85.8,63.1,65.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,4,5,FG1,1,7765,上部,84.7,33.2,-117.7,60.2,68.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,5,6,FG1,1,10750,上部,147,92.8,-182.6,87.6,94.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,6,7,FG1,1,10760,上部,188.8,92.3,-142.5,95.3,86.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,7,8,FG1,1,6770,上部,107.6,20.8,-54.1,63.3,47.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,H,8,9,FG1,1,5940,上部,65.1,41.2,-9.7,57.6,39,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,F,G,FG1,1,7080,上部,22,36.4,-87.2,38.5,56.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,1,G,H,FG1,1,8640,上部,113.1,59.6,-39.6,67.6,50.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,F,G,FG1,1,7080,上部,14.6,40.5,-86.3,37.6,57.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,2,G,H,FG1,1,8640,上部,115.2,56.8,-43.2,67.5,50.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,F,G,FG1,1,7080,上部,1.5,43,-107,36.3,66.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,3,G,H,FG1,1,8640,上部,128.8,68.3,-25.3,75.4,51.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,F,G,FG1,1,7080,上部,1.1,42.9,-107.6,36.2,66.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,4,G,H,FG1,1,8640,上部,128.3,68.4,-25.6,75.3,51.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,F,G,FG1,1,7080,上部,-2.3,44.3,-108.2,35.6,66.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,5,G,H,FG1,1,8640,上部,128.2,67.4,-27.6,75.1,51.8,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,F,G,FG1,1,7080,上部,-7,46.2,-109.1,34.8,67.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,6,G,H,FG1,1,8640,上部,128.8,66.4,-29.1,75,51.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,A,B,FG1,1,8645,上部,54.5,128.6,-171.1,93.3,120.3,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,B,C,FG1,1,8075,上部,158,28,-72.2,77.7,56.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,C,D,FG1,1,10750,上部,94.8,56.1,-99.5,52.7,53.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,D,E,FG1,1,10970,上部,97.3,44.1,-133.7,51,57.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,E,F,FG1,1,2780,上部,166.3,-39.4,68.1,95.2,-69.9,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,F,G,FG1,1,7080,上部,-68.1,55,-153.7,24.1,82.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,7,G,H,FG1,1,8640,上部,144.3,58.1,-30.1,76.7,50.2,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,A,B,FG1,1,8645,上部,74.6,162.5,-40.8,102,94.1,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,C,D,FG2,1,10750,上部,92.5,292.3,-69.2,136.1,131.7,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,E,G,FG2,1,9860,上部,37.7,180.8,-227,103,141.4,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,8,G,H,FG1,1,8640,上部,214.7,20.8,-34.4,84.3,42.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,A,B,FG1,1,8645,上部,50.5,127.1,-178.1,92.1,121.6,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,B,C,FG1,1,8075,上部,166.5,40.1,-174.5,98.5,100.5,0,0,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>
1SL,9,C,D,FG2,1,10750,上部,201,137.8,-269.6,127.5,140.3,0,0,
